Outletid,OutletName,DistCode,DistributorName,MainChannelCode,MainChannelType,SM_Code,SM_Name,ASM_Code,ASM_Name,RSE_Code,RSE_Name,PSR_Code,PSR_Desc
"C007842","THAKUR MAHAL HOTEL","C000284","PANNALAL ROY","MC0019","QSR","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007843","TARA FANCY STORES","C000284","PANNALAL ROY","MC0001","CONVENIENCE","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007844","SHANKAR LAL (SHYAMAL RAM)","C000284","PANNALAL ROY","MC0001","CONVENIENCE","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007846","GURUJEE (BIKANER PAN BHANDAR)","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007847","KAPILDEO","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007848","BALDEO SINGH","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007849","AGARWAL STORES (DACCAPATTI ST)","C000284","PANNALAL ROY","MC0001","CONVENIENCE","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007850","PARBATI PAN BHANDER","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007851","PANNALAL ROY","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007852","LALA PAN DOKAN","C000284","PANNALAL ROY","MC0018","PAAN PLUS","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
"C007853","DARSHANA","C000284","PANNALAL ROY","MC0019","QSR","E0571","PROSENJIT CHATTERJEE","E1159","ARNAB MONDAL","E0979","SAIKAT DAS","PSR0523","MD. DILSAD ALAM"
